movieId,title_clean,phash
1,Toy Story,80e89e26e13b06f9c2f13e744287a1ce1e33b94b30d1b5bd7e2729297c3833cb
2,Jumanji,c4dfd60f58316b057d1366722f8094609364cbd374ded9ccf4b39d8d2264a19d
3,Grumpier Old Men,a42ef97e99d1c6e0834be10938f88d5a250fd6862a72313dff714cf0ec2e0ce9
4,Waiting to Exhale,d19c05bdac7ddad2da43e762ce62ab492f852d1d8f6d66b8089649b4709d10b9
5,Father of the Bride Part II,85eca599fe13da40f55e546f0aa929c385e2d6f07945f51cd2ba3043836d8f61
6,Heat,b2ef31f0e5663d1719909f0fd4889676661b4194c9e369e96074869e92e6b54d
7,Sabrina,beff77984cc758f8df03fec291fc35c3ef10ec61e31ceb801a001e073238e481
8,Tom and Huck,f1ac58e360547b9c4c68f3868bdd37b2b0c5ba603d3a6671da149a23636ac657
9,Sudden Death,9140e1406d52277f0fff1eec34a874a959aac7a2872ec33de234ec3d0b953b85
10,GoldenEye,9426992f093dfb66739406d8cec34b792034a5a6f65d24d4e4604f5b35b9b5a9
11,"American President, The",94058b776b5876967abd57a0d52a612b2d6f9c429e143794c3996b836a437e4a
12,Dracula: Dead and Loving It,99451f6d669b6cb26aa4e64b36499af7c39bd92c986dc7b268b118c6a5522439
13,Balto,bf414c1bc03e1b785a51368d858cd9862b72aef5368d4ea94f7b257095d56247
14,Nixon,caeb587a8fd5b53de528ef54d0d3e7859136d983999c9229b0448674e063ee18
15,Cutthroat Island,fec57730f1bad0fcd06c32cf06934f0129469bd03cf0c648c1f0b0e79b3d661b
16,Casino,9910f914f914d91a78f660db5a5f20e7c6999f2727a52789172616cc66eb5266
17,Sense and Sensibility,a5c2ab7cd8bdf0891f326b57244d8d3093a1378b931ad8e6649cc58dcd93f324
18,Four Rooms,fa1dbf4085e2862f7a44c17ed1d929c179a7c1ec6b502f0694c73e1496d3c5c9
19,Ace Ventura: When Nature Calls,953986ad1857f8785646b93ae9311997ebb194e61ecaed4914adc62532bc5a52
20,Money Train,948d904b4b774fb7e408fe48e1f7a13730703630bc273c861ee7bccdb400f4bc
21,Get Shorty,e39efc4e46549ccfe22a19d345713db16ae8b933d0f18c1454606c22bcf72bb1
22,Copycat,8fc3cac3387c9c6cc1c933319c17e4c626c6667ce67883196aaf8dc7ce8ac638
23,Assassins,d6c9926933343d92b19bd999c9b28cb2986c8ced96d3970b67236d8699ca98c9
24,Powder,ccafecc5087f12abe315c1563330d57a7f5016a81dec62c5308f7aa14c573cda
25,Leaving Las Vegas,94bb6aa1eb20141274467e64e1b5a5db9eacc4ba39126ef1ccc1b3c5d19dc659
26,Othello,89305effc4802d3b4663f4d92ccfe200162ff282327f4b248b6fb3363395f133
27,Now and Then,fa12f8d65471852b80fccfd10527d7a9d8cbb0341fda13dafb2424253389d8cb
28,Persuasion,cc6c1193b3344e6498d36c8d132c32931b361de54ed83779ede59751b1d38993
29,"City of Lost Children, The (Cité des enfants perdus, La)",924d65066d92c2cd3f6d3b3f6bb3e53392509160b99048b058e9f467386f703f
30,Shanghai Triad (Yao a yao yao dao waipo qiao),94f6a2796a59ccc749146eb298675b0c5eb3e75265549ca1133542b6d5eb3549
31,Dangerous Minds,933deb70836114f775da7c227c926c8f2b8fa6afa488e540657590573ad48bb0
32,Twelve Monkeys (a.k.a. 12 Monkeys),c037c321c1fe8f088f01be350f817dfe35807c1f3c2b30037c9e847c6effc2e2
34,Babe,9c18099f26fb84f81706a78861fcf00138711c7ab32303f9fff838fc20dfff02
36,Dead Man Walking,cdcd11260dd93bf27b183fcc9b113731665873996332640fc48bc013633d33f7
