movieId,title,genres,year,has_year,title_clean
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,True,Toy Story
2,Jumanji (1995),Adventure|Children|Fantasy,1995,True,Jumanji
3,Grumpier Old Men (1995),Comedy|Romance,1995,True,Grumpier Old Men
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,True,Waiting to Exhale
5,Father of the Bride Part II (1995),Comedy,1995,True,Father of the Bride Part II
6,Heat (1995),Action|Crime|Thriller,1995,True,Heat
7,Sabrina (1995),Comedy|Romance,1995,True,Sabrina
8,Tom and Huck (1995),Adventure|Children,1995,True,Tom and Huck
9,Sudden Death (1995),Action,1995,True,Sudden Death
10,GoldenEye (1995),Action|Adventure|Thriller,1995,True,GoldenEye
11,"American President, The (1995)",Comedy|Drama|Romance,1995,True,"American President, The"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,True,Dracula: Dead and Loving It
13,Balto (1995),Adventure|Animation|Children,1995,True,Balto
14,Nixon (1995),Drama,1995,True,Nixon
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,True,Cutthroat Island
16,Casino (1995),Crime|Drama,1995,True,Casino
17,Sense and Sensibility (1995),Drama|Romance,1995,True,Sense and Sensibility
18,Four Rooms (1995),Comedy,1995,True,Four Rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,True,Ace Ventura: When Nature Calls
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,True,Money Train
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,True,Get Shorty
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,True,Copycat
23,Assassins (1995),Action|Crime|Thriller,1995,True,Assassins
24,Powder (1995),Drama|Sci-Fi,1995,True,Powder
25,Leaving Las Vegas (1995),Drama|Romance,1995,True,Leaving Las Vegas
26,Othello (1995),Drama,1995,True,Othello
27,Now and Then (1995),Children|Drama,1995,True,Now and Then
28,Persuasion (1995),Drama|Romance,1995,True,Persuasion
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,True,"City of Lost Children, The (Cité des enfants perdus, La)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,True,Shanghai Triad (Yao a yao yao dao waipo qiao)
31,Dangerous Minds (1995),Drama,1995,True,Dangerous Minds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,True,Twelve Monkeys (a.k.a. 12 Monkeys)
34,Babe (1995),Children|Drama,1995,True,Babe
36,Dead Man Walking (1995),Crime|Drama,1995,True,Dead Man Walking
38,It Takes Two (1995),Children|Comedy,1995,True,It Takes Two
39,Clueless (1995),Comedy|Romance,1995,True,Clueless
40,"Cry, the Beloved Country (1995)",Drama,1995,True,"Cry, the Beloved Country"
41,Richard III (1995),Drama|War,1995,True,Richard III
42,Dead Presidents (1995),Action|Crime|Drama,1995,True,Dead Presidents
43,Restoration (1995),Drama,1995,True,Restoration
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,True,Mortal Kombat
45,To Die For (1995),Comedy|Drama|Thriller,1995,True,To Die For
46,How to Make an American Quilt (1995),Drama|Romance,1995,True,How to Make an American Quilt
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,True,Seven (a.k.a. Se7en)
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,True,Pocahontas
49,When Night Is Falling (1995),Drama|Romance,1995,True,When Night Is Falling
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,True,"Usual Suspects, The"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,True,Mighty Aphrodite
53,Lamerica (1994),Adventure|Drama,1994,True,Lamerica
54,"Big Green, The (1995)",Children|Comedy,1995,True,"Big Green, The"
55,Georgia (1995),Drama,1995,True,Georgia
57,Home for the Holidays (1995),Drama,1995,True,Home for the Holidays
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,True,"Postman, The (Postino, Il)"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,True,"Indian in the Cupboard, The"
61,Eye for an Eye (1996),Drama|Thriller,1996,True,Eye for an Eye
62,Mr. Holland's Opus (1995),Drama,1995,True,Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996,True,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two if by Sea (1996),Comedy|Romance,1996,True,Two if by Sea
65,Bio-Dome (1996),Comedy,1996,True,Bio-Dome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996,True,Lawnmower Man 2: Beyond Cyberspace
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,True,French Twist (Gazon maudit)
69,Friday (1995),Comedy,1995,True,Friday
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996,True,From Dusk Till Dawn
71,Fair Game (1995),Action,1995,True,Fair Game
72,Kicking and Screaming (1995),Comedy|Drama,1995,True,Kicking and Screaming
73,"Misérables, Les (1995)",Drama|War,1995,True,"Misérables, Les"
74,Bed of Roses (1996),Drama|Romance,1996,True,Bed of Roses
75,Big Bully (1996),Comedy|Drama,1996,True,Big Bully
76,Screamers (1995),Action|Sci-Fi|Thriller,1995,True,Screamers
77,Nico Icon (1995),Documentary,1995,True,Nico Icon
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995,True,"Crossing Guard, The"
79,"Juror, The (1996)",Drama|Thriller,1996,True,"Juror, The"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995,True,"White Balloon, The (Badkonake sefid)"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995,True,Things to Do in Denver When You're Dead
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995,True,Antonia's Line (Antonia)
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995,True,Once Upon a Time... When We Were Colored
85,Angels and Insects (1995),Drama|Romance,1995,True,Angels and Insects
86,White Squall (1996),Action|Adventure|Drama,1996,True,White Squall
87,Dunston Checks In (1996),Children|Comedy,1996,True,Dunston Checks In
88,Black Sheep (1996),Comedy,1996,True,Black Sheep
89,Nick of Time (1995),Action|Thriller,1995,True,Nick of Time
92,Mary Reilly (1996),Drama|Horror|Thriller,1996,True,Mary Reilly
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995,True,Vampire in Brooklyn
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996,True,Beautiful Girls
95,Broken Arrow (1996),Action|Adventure|Thriller,1996,True,Broken Arrow
96,In the Bleak Midwinter (1995),Comedy|Drama,1995,True,In the Bleak Midwinter
97,"Hate (Haine, La) (1995)",Crime|Drama,1995,True,"Hate (Haine, La)"
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995,True,Heidi Fleiss: Hollywood Madam
100,City Hall (1996),Drama|Thriller,1996,True,City Hall
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996,True,Bottle Rocket
102,Mr. Wrong (1996),Comedy,1996,True,Mr. Wrong
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,1996,True,Unforgettable
104,Happy Gilmore (1996),Comedy,1996,True,Happy Gilmore
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,True,"Bridges of Madison County, The"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994,True,Nobody Loves Me (Keiner liebt mich)
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996,True,Muppet Treasure Island
108,Catwalk (1996),Documentary,1996,True,Catwalk
110,Braveheart (1995),Action|Drama|War,1995,True,Braveheart
111,Taxi Driver (1976),Crime|Drama|Thriller,1976,True,Taxi Driver
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995,True,Rumble in the Bronx (Hont faan kui)
113,Before and After (1996),Drama|Mystery,1996,True,Before and After
116,Anne Frank Remembered (1995),Documentary,1995,True,Anne Frank Remembered
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,1995,True,"Young Poisoner's Handbook, The"
118,If Lucy Fell (1996),Comedy|Romance,1996,True,If Lucy Fell
119,"Steal Big, Steal Little (1995)",Comedy,1995,True,"Steal Big, Steal Little"
121,"Boys of St. Vincent, The (1992)",Drama,1992,True,"Boys of St. Vincent, The"
122,Boomerang (1992),Comedy|Romance,1992,True,Boomerang
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994,True,Chungking Express (Chung Hing sam lam)
125,Flirting With Disaster (1996),Comedy,1996,True,Flirting With Disaster
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994,True,"NeverEnding Story III, The"
128,Jupiter's Wife (1994),Documentary,1994,True,Jupiter's Wife
129,Pie in the Sky (1996),Comedy|Romance,1996,True,Pie in the Sky
132,Jade (1995),Thriller,1995,True,Jade
135,Down Periscope (1996),Comedy,1996,True,Down Periscope
137,Man of the Year (1995),Documentary,1995,True,Man of the Year
140,Up Close and Personal (1996),Drama|Romance,1996,True,Up Close and Personal
141,"Birdcage, The (1996)",Comedy,1996,True,"Birdcage, The"
144,"Brothers McMullen, The (1995)",Comedy,1995,True,"Brothers McMullen, The"
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995,True,Bad Boys
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,1995,True,"Amazing Panda Adventure, The"
147,"Basketball Diaries, The (1995)",Drama,1995,True,"Basketball Diaries, The"
148,"Awfully Big Adventure, An (1995)",Drama,1995,True,"Awfully Big Adventure, An"
149,Amateur (1994),Crime|Drama|Thriller,1994,True,Amateur
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995,True,Apollo 13
151,Rob Roy (1995),Action|Drama|Romance|War,1995,True,Rob Roy
152,"Addiction, The (1995)",Drama|Horror,1995,True,"Addiction, The"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,True,Batman Forever
154,Beauty of the Day (Belle de jour) (1967),Drama,1967,True,Beauty of the Day (Belle de jour)
155,Beyond Rangoon (1995),Adventure|Drama|War,1995,True,Beyond Rangoon
156,Blue in the Face (1995),Comedy|Drama,1995,True,Blue in the Face
157,Canadian Bacon (1995),Comedy|War,1995,True,Canadian Bacon
158,Casper (1995),Adventure|Children,1995,True,Casper
159,Clockers (1995),Crime|Drama|Mystery,1995,True,Clockers
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,True,Congo
161,Crimson Tide (1995),Drama|Thriller|War,1995,True,Crimson Tide
162,Crumb (1994),Documentary,1994,True,Crumb
163,Desperado (1995),Action|Romance|Western,1995,True,Desperado
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,True,Devil in a Blue Dress
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995,True,Die Hard: With a Vengeance
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,1995,True,"Doom Generation, The"
168,First Knight (1995),Action|Drama|Romance,1995,True,First Knight
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995,True,Free Willy 2: The Adventure Home
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995,True,Hackers
171,Jeffrey (1995),Comedy|Drama,1995,True,Jeffrey
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995,True,Johnny Mnemonic
173,Judge Dredd (1995),Action|Crime|Sci-Fi,1995,True,Judge Dredd
174,Jury Duty (1995),Comedy,1995,True,Jury Duty
175,Kids (1995),Drama,1995,True,Kids
176,Living in Oblivion (1995),Comedy,1995,True,Living in Oblivion
177,Lord of Illusions (1995),Horror,1995,True,Lord of Illusions
178,Love & Human Remains (1993),Comedy|Drama,1993,True,Love & Human Remains
179,Mad Love (1995),Drama|Romance,1995,True,Mad Love
180,Mallrats (1995),Comedy|Romance,1995,True,Mallrats
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1995,True,Mighty Morphin Power Rangers: The Movie
183,Mute Witness (1994),Comedy|Horror|Thriller,1994,True,Mute Witness
184,Nadja (1994),Drama,1994,True,Nadja
185,"Net, The (1995)",Action|Crime|Thriller,1995,True,"Net, The"
186,Nine Months (1995),Comedy|Romance,1995,True,Nine Months
187,Party Girl (1995),Comedy,1995,True,Party Girl
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,1995,True,"Prophecy, The"
189,Reckless (1995),Comedy|Fantasy,1995,True,Reckless
190,Safe (1995),Thriller,1995,True,Safe
191,"Scarlet Letter, The (1995)",Drama|Romance,1995,True,"Scarlet Letter, The"
193,Showgirls (1995),Drama,1995,True,Showgirls
194,Smoke (1995),Comedy|Drama,1995,True,Smoke
195,Something to Talk About (1995),Comedy|Drama|Romance,1995,True,Something to Talk About
196,Species (1995),Horror|Sci-Fi,1995,True,Species
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,True,Strange Days
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964,True,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
201,Three Wishes (1995),Drama|Fantasy,1995,True,Three Wishes
202,Total Eclipse (1995),Drama|Romance,1995,True,Total Eclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995,True,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,Under Siege 2: Dark Territory (1995),Action,1995,True,Under Siege 2: Dark Territory
205,Unstrung Heroes (1995),Comedy|Drama,1995,True,Unstrung Heroes
206,Unzipped (1995),Documentary,1995,True,Unzipped
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995,True,"Walk in the Clouds, A"
208,Waterworld (1995),Action|Adventure|Sci-Fi,1995,True,Waterworld
209,White Man's Burden (1995),Drama,1995,True,White Man's Burden
210,Wild Bill (1995),Western,1995,True,Wild Bill
211,"Browning Version, The (1994)",Drama,1994,True,"Browning Version, The"
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,1995,True,Bushwhacked
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,1994,True,Burnt by the Sun (Utomlyonnye solntsem)
214,Before the Rain (Pred dozhdot) (1994),Drama|War,1994,True,Before the Rain (Pred dozhdot)
215,Before Sunrise (1995),Drama|Romance,1995,True,Before Sunrise
216,Billy Madison (1995),Comedy,1995,True,Billy Madison
217,"Babysitter, The (1995)",Drama|Thriller,1995,True,"Babysitter, The"
218,Boys on the Side (1995),Comedy|Drama,1995,True,Boys on the Side
219,"Cure, The (1995)",Drama,1995,True,"Cure, The"
220,Castle Freak (1995),Horror,1995,True,Castle Freak
222,Circle of Friends (1995),Drama|Romance,1995,True,Circle of Friends
223,Clerks (1994),Comedy,1994,True,Clerks
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995,True,Don Juan DeMarco
225,Disclosure (1994),Drama|Thriller,1994,True,Disclosure
227,Drop Zone (1994),Action|Thriller,1994,True,Drop Zone
228,Destiny Turns on the Radio (1995),Comedy,1995,True,Destiny Turns on the Radio
229,Death and the Maiden (1994),Drama|Thriller,1994,True,Death and the Maiden
230,Dolores Claiborne (1995),Drama|Thriller,1995,True,Dolores Claiborne
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,1994,True,Dumb & Dumber (Dumb and Dumber)
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,1994,True,Eat Drink Man Woman (Yin shi nan nu)
233,Exotica (1994),Drama,1994,True,Exotica
234,Exit to Eden (1994),Comedy,1994,True,Exit to Eden
235,Ed Wood (1994),Comedy|Drama,1994,True,Ed Wood
236,French Kiss (1995),Action|Comedy|Romance,1995,True,French Kiss
237,Forget Paris (1995),Comedy|Romance,1995,True,Forget Paris
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,1995,True,Far From Home: The Adventures of Yellow Dog
