actor_id,name
298587,Leo Morimoto
575921,Peter Arne
873910,Delphine Chanéac
927343,Emil Wolk
1268580,Akshay Kumar
2273716,Alistair McGowan
2851169,Jeff Tartakov
2966577,Usher
3411442,Zachary Knighton
3650425,Greg Hicks
3851864,Gal Gadot
4188154,Jamie Kennedy
4268151,Klas-Gösta Olsson
4441238,Aaron Abrams
4605612,Nigel Bruce
4799750,Molly Ringwald
4799869,Sean Lau Ching-Wan
4853585,"Floyd ""Red Crow"" Westerman"
5621471,Denis Lawson
5630581,Linden Ashby
5795856,Cui Lin
5896249,Gillian Jacobs
7260106,Julian Assange
7295757,Aleksandr Antonov
7484576,Florian Bartholomäi
7586582,Stefano Accorsi
7698990,Mary Wickes
8034147,Becky Fischer
8306933,Iggy Pop
8701418,B.B. King
9315562,Matthias Schoenaerts
9728646,Kierston Wareing
9771580,Auliʻi Cravalho
9931163,Santiago Magill
9959939,Ni Ni
10382412,Lisa Ann Walter
10482139,Mikal P. Lazarev
10558360,Paulette Breen
10705592,Natalia Verbeke
11056615,Adam Pally
11559436,Chen Hong
11851891,Juan Carlos Copes
11895174,Gregory Jones
12337331,Peter Laird
12348562,Haruko Sugimura
12439869,Michael Trucco
12809358,Lane Garrison
12822678,Yusaku Yara
12874445,Sarah Michelle Gellar
13031711,Myriam Cyr
13211228,Kevin Booth
13277680,Skandar Keynes
13283525,Yehuda Efroni
13554828,Kevin Durand
13750777,William Smith
13772257,Hassan Tantai
13887366,René Le Vant
13889335,Nick Kroll
14056091,Professor Toru Tanaka
14773562,Bruce Bohne
15185993,Daniella Pineda
15612810,Chintara Sukapatana
15717151,Alex Haw
16362178,Karin Konoval
16450731,Jannis Niewöhner
16856371,Charlie Heath
17633851,Richard Gere
17942362,Jon Clair
18043552,Michael Gough
18391530,Robert Ben Garant
18801861,Lisa Stothard
19158355,Carolien Spoor
19649902,Agnes Kittelsen
19855498,Aasif Mandvi
19995459,Stephen Eric McIntyre
20389188,Omarion
20471402,John Boyega
20546891,Ljubov Agapova
20761805,Naomi Zaizen
21382735,Dan McComas
21858413,Patty McCormack
21876104,Ed O'Neill
21904098,Lex Scott Davis
22234798,Linda Manz
22361192,Peter Masterson
22437087,Antonio Monroy
22488093,Kirstie Alley
22746409,Jean-Pierre Zola
22809567,Eiko Miyoshi
23171065,Brook Williams
23280179,Ashley Olsen
23401435,De'Aundre Bonds
24378620,Jennifer Prichard
24527983,Scott Cohen
24578730,Masaki Suda
25094730,Howard Stern
25150820,Bill Pullman
25875500,Sumi Mutoh
25913339,Tim Curry
26307163,Betty Grable
26638149,Barry MacKay
27095255,Mikhail Bychkov
27567874,Bibi Naceri
28249235,Erik Audé
28355632,Na Moon-hee
28437974,Atossa Leoni
28735377,Joel Grey
28908019,Manoj Mishra
28969285,Craig Chester
28970920,Rene Medvešek
29064314,Benoît Brière
29081359,Guy Witcher
29114689,Phillip Alford
29448976,Kit Harington
29875264,Sebastián Aguirre
29967856,Ajay Naidu
30620857,Rebekah Brandes
30703602,Jeff Daniel Phillips
31105659,Maria Nazionale
31121905,Caroline Junko King
31188869,Richard Kind
31733980,Paul Kligman
31825277,Alizé
31915377,Kathryn Grant
31925249,Amanda Davin
31973080,Féodor Atkine
32101666,Laura Regan
32219465,Kathryn Hahn
32220491,James Laurenson
32310223,John Meillon
32313634,Julius Streicher
32414337,Folco Lulli
32416726,Marwan Kenzari
32779734,Johnny Knoxville
33603514,John Ritter
33661567,Paul Reubens
33777729,Greg McHugh
33848666,Lorraine Gary
34154232,Shaun Toub
34547549,Devid Striesow
34825975,Yuto Uemura
34909260,Florence Pernel
35014291,Grey DeLisle
35280321,Balthazar Getty
35428411,Cam Clarke
35559022,Hideji Ōtaki
35675511,Bruno Kirby
35801671,Sami Bouajila
35916254,Darlene Cates
36061164,Catherine Oxenberg
36127359,Drake Bell
36342623,Alexander Skarsgård
36427674,Harry Myers
36591146,Wendy Hughes
36899348,Virginia Vincent
37394427,Pippo Santonastaso
37522052,Mario Adorf
37654269,Cathleen Nesbitt
37657728,Miloslav Holub
37995867,Lola Dueñas
38094760,John Louie
38114353,Spencer Wilding
38179189,Joe Piscopo
38555989,Benjamin Hendrickson
39074587,Martin Shaw
39157988,Oskar Werner
39271048,Angelica Lee Sin-Jie
39301861,Betsy Palmer
39382918,Abbey Lee
39517394,Sandra Ng Kwan-Yu
40294280,Rachel Weisz
40594010,Marcello Cannavale
