director_id,name
43117,Thomas Michael Donnelly
449243,Howard McCain
2411342,Rob Marshall
3774904,Lev L. Spiro
6857180,Nick Hamm
7195781,Keiichi Hara
8368533,Onur Tukel
9002580,Tom DiCillo
11173063,Ariel Vromen
12139037,Matteo Garrone
12365725,Tibor Takács
15527838,Yvan Attal
17272767,John-Paul Davidson
17867812,Thom Fitzgerald
20720026,Bo Zenga
21197164,Uwe Boll
21394718,Gee Malik Linton
23364057,George Pal
24651990,Michael Sucsy
25227748,Patricia Rozema
27610575,Blair Hayes
29910485,Jonathan Teplitzky
32393372,Brian Levant
35594825,Terry Jastrow
37973162,Morton DaCosta
41226848,Keith Gordon
42009604,Eduardo Sánchez
42527605,Todd Field
43171565,Predrag Antonijević
43769263,Michael Patrick King
43955135,Jaume Collet-Serra
44244612,Marc Caro
44377873,Steve Carver
45351156,Christian T. Petersen
45674082,Steve Wang
47292137,Anthony Waller
48689291,Michael Davis
49965531,Beeban Kidron
51456048,Gary Sherman
54633030,Frederick de Cordova
54957899,Matthew Ryan Hoge
57783864,Matthew Vaughn
60759917,Scott Kalvert
62127007,Miranda July
64180120,Sean Penn
65803577,Tom Mankiewicz
65909377,Philippe Mora
68740998,Baz Luhrmann
68762016,Barry Skolnick
69993386,Peter Brook
71467512,Mike Thurmeier
73609100,Alan Mak Siu-Fai
73624419,Spike Jonze
74640584,Damon Gameau
76260557,Anna Foerster
76391798,Adam Robitel
77210462,Steve Miner
78074740,Donald G. Jackson
78261714,Lee David Zlotoff
79347772,Robert Eggers
81560093,Joel Hopkins
81563122,Tony Richardson
83345352,Joe May
84830717,Marek Kanievska
89012312,Gela Babluani
90040696,Masahiro Ando
90540891,Bo Burnham
90625577,Stephen Kijak
91214763,Alexandre Astier
91512356,Chris Eyre
91800563,Kasi Lemmons
93055047,Aki Kaurismäki
93199464,Andrew Scheinman
94016305,Pierre Salvadori
94026724,Jamie Babbit
95469020,Justin Theroux
97851408,Charles Rogers
98565521,Yash Chopra
99097187,Bernard L. Kowalski
99921920,Wong Kar-Wai
100790252,Savage Steve Holland
101408338,David Grovic
101761458,Ralf Huettner
101996861,Eric Bress
103411308,Robert Hughes
104116710,Christophe Gans
104593366,Hampton Fancher
104874816,Farren Blackburn
105592035,Adam Kassen
106106745,Don Coscarelli
107382464,Kirsten Sheridan
108424757,Richard Attenborough
110282114,Maurizio Nichetti
110344577,Hannes Stöhr
111306080,Jonathan Darby
113838155,Ronald Neame
114160416,Chris Noonan
115332293,Rob Stewart
115333036,Clark L. Paylow
117599449,Kim Tae-gyun
117973260,Radu Mihăileanu
118050264,Peter Avanzino
120633843,Oren Peli
121581285,Dennis Gansel
121997255,Fernando Trueba
122482914,Justin Kerrigan
123091225,Stephen Daldry
124379532,Robert D. Webb
125182240,Arthur Lubin
126577391,Douglas Sirk
126825613,Elizabeth Banks
126858107,Carter Smith
128612611,Mark Waters
128805634,Donald Petrie
128900122,William Monahan
129464910,Niki Caro
129910754,Shirley Barrett
130589639,Michael Lehmann
131327301,Delmer Daves
131862094,Mikael Håfström
132192210,Icíar Bollaín
133091529,Gregor Nicholas
133367911,Jan Hřebejk
133738143,Howard Zieff
134653808,Adam Rapp
134726909,Chris Bell
135758563,Greg Pritikin
137311516,Paul Schneider
137715269,Kinji Fukasaku
140477566,Stuart Baird
140677152,Doug Liman
142412274,Alan Smithee
146578475,Charles Burmeister
147115347,Franco Brusati
147198042,Nobuyuki Takeuchi
148651992,Alice Wu
149430672,Millie Loredo
149896523,King Hu
155594339,Steve Barker
155929752,Jonás Cuarón
156029179,Paul Weiland
156308395,Helen Stickler
157045312,Robert Shaye
158910560,Sheree Folkson
159949476,Mike Gabriel
160299203,Silvio Narizzano
160307363,Mark Cousins
161344530,Yasuomi Umetsu
161881811,Sam Raimi
164564726,Brad Furman
168234108,John Krasinski
168640755,Keenen Ivory Wayans
168814936,Tom Berry
169828286,Takashi Yamazaki
170539751,Tom Owens
170895922,Alan J.W. Bell
171256523,François Girard
171366308,Garson Kanin
171655065,Kevin Sullivan
171834164,Chris Nahon
173323561,Jon Jost
175431582,Mike Cahill
176296518,Ray Müller
176588573,Andrew Douglas
178083922,Dave Green
178200023,Nic Balthazar
178902094,Sebastian Gutierrez
179898444,Gennadiy Sokolskiy
180592298,Josh Trank
180690699,Yasujirō Ozu
181750245,Freddie Francis
182276585,Rich Wilkes
182795998,Jon Favreau
183129300,Jeffrey Blitz
184979557,Lasse Spang Olsen
187636388,Peter Winther
190772488,Eric Karson
191370113,Gregor Jordan
192915228,Tamar Simon Hoffs
193039733,Christopher Miller
193935741,Buddy Van Horn
194073099,Ryū Murakami
194484522,Emilio Estevez
194804718,Abram Cox
196553287,Martin Lawrence
198416391,Javier Fesser
199182108,Laetitia Colombani
200203707,Leonid Nosyrev
201668548,Kirby Dick
203826890,Ava DuVernay
203905659,Danis Tanović
204171694,Aaron Rose
205783346,Darnell Martin
206535438,John Cassavetes
208357322,Victor Heerman
209092057,Robert Olsen
209762487,Pitof
210179902,Steve Oedekerk
211018320,John McNaughton
211716770,Mark Burton
211846930,Priyadarshan
212837402,Toe Yuen
213698452,David Siegel
215315272,Richard Brooks
215973670,Steve Gordon
217089587,Saul Dibb
218195726,Yakov Protazanov
220428699,James L. Conway
221251415,Alan Parker
221364105,Craig Mazin
221693036,George Butler
222635454,Andrew Bush
224184703,Duncan Tucker
224346584,Rich Murray
224843729,Bryan Gordon
225877845,Richard Schenkman
226231726,Fred Cavayé
230062949,Walter Bernstein
230348368,Bob Odenkirk
232626308,Thomas Jahn
235125575,Colin Strause
235811099,Philippe Le Guay
236018254,Michael Matheson
236967936,Aaron Lipstadt
239189768,Mort Nathan
239712499,Anthony Mann
240158816,Clive A. Smith
240694757,Michael Oblowitz
244093362,Karen Shakhnazarov
244680889,Tadayoshi Yamamuro
248095236,Kimberly Peirce
248505535,Stephen Gyllenhaal
248713556,Daniel Taplitz
250714096,Sebastian Dehnhardt
251253947,Pupi Avati
252337201,Ed Solomon
252612333,Charles Herman-Wurmfeld
253056610,J.M. Kenny
253908045,Rainer Werner Fassbinder
254361015,Wayne Kramer
256943073,Jefery Levy
257512845,Stanley Kubrick
257847814,Yeon Sang-ho
258131707,Alexandra Kondracke
259235695,David Carson
259494582,David Swift
260273741,André Øvredal
260897131,Tom Ellery
261184036,Errol Morris
262342776,Peter Cohn
263195621,Damon Santostefano
263861040,Martin Wood
264220979,Max Ophüls
265956801,Charles Haid
267068913,Ziad Doueiri
268036006,Maren Ade
270945922,Yojiro Takita
273126319,Patrice Leconte
273934145,Damien O'Donnell
275939090,Tobe Hooper
276533586,Javier Ruiz Caldera
277108214,Alejandro Agresti
279028683,Dave Alex Riddett
279943226,Sebastián Silva
280236248,David Schmoeller
285414763,Paul Rachman
287153694,Niels Arden Oplev
287192416,Charles S. Dutton
287766284,Aimee Lagos
288019439,Katja von Garnier
290759614,Shinji Kimura
291741716,Michael Reeves
292748924,Bill Kroyer
294867380,Alain Chabat
296528404,Brian Gilbert
298445086,Gil Kenan
300435143,Gregory Mosher
301289450,Paul Gross
301858196,Steve McQueen
302365970,Anthony Drazan
302451984,Robert De Niro
302628688,Francis Ford Coppola
303972024,Jim O'Hanlon
305815312,Daniel Cohen
306829111,Leigh Whannell
306979144,Flip van der Kuil
310087093,Oleg Fomin
310435896,Michael Almereyda
312279663,Bill Pohlad
316226629,Paul Lynch
316413025,Walter Lang
317778309,Henry Levin
319673687,Glenn McQuaid
319949009,Norman Z. McLeod
321735502,Brenda Chapman
323909790,Robert Wiene
324143559,Jake Schreier
325383821,Ethan Wiley
325411572,Fraser Clarke Heston
326481632,Sergio Castellitto
326854874,J. A. Bayona
327735889,Brett Kelly
327927636,Michael Curtiz
328122092,Gareth Evans
328796327,René Clair
330127239,Cyrus Nowrasteh
330179514,Barnaby Thompson
333960951,Geoff Murphy
334112535,John Gatins
334327507,Glenn Jordan
334759446,Rachel Talalay
335080341,Alain Tanner
335506909,Jason Lapeyre
336745639,Erich von Stroheim
341909483,Jukka Virtanen
344253901,Cliff Owen
347466277,Peter R. Hunt
347755142,Chris Stokes
348350430,Michael Winterbottom
348702201,Georges Franju
349585339,John Stainton
350052132,Isaac Florentine
350341001,Edmund Goulding
351082937,Sarah Gavron
351482407,Michael Powell
351566801,Pat Proft
354434142,Tim Pope
354518146,Mark A.Z. Dippé
354829259,John Crowley
354943163,Alex Kurtzman
355719221,Michael Burke
357019418,George Fitzmaurice
357614753,Henry Joost
357996134,Mike Nichols
358497074,Peter O'Fallon
358957002,Neil Burger
359255087,Vincente Minnelli
359673029,Jerry Zaks
361115407,Louis D'Esposito
362755829,BJ McDonnell
362986966,Vladimir Bortko
364723596,Charlie Kaufman
365255170,Gérard Oury
369346250,Christopher Landon
369639133,Lawrence Guterman
372370523,Don Chaffey
372816215,Evgeny Shelyakin
376522476,Amy J. Berg
376926866,Roland Joffé
376958768,Louis Morneau
377771200,Colin Higgins
378015660,Agnès Merlet
378399558,Emanuele Crialese
379189718,Herschell Gordon Lewis
381476643,Claude Miller
381878123,Jean Negulesco
383958773,Tom Ford
385138655,Herbert Ross
385614018,Will Slocombe
387638011,Josh Greenbaum
388389461,Joseph Sargent
389566416,Pedro Morelli
390311273,John Pasquin
392756649,Stefan Schwartz
393187562,Robert Rossen
393378306,Venkat Prabhu
394737279,Sam Jones
395198953,Damiano Damiani
396766765,William F. Claxton
396945930,Freida Lee Mock
397443703,Victor Levin
399221929,Klay Hall
399812474,Jamie Linden
401635181,Don Roos
405474157,Michael Rymer
405658660,J. Searle Dawley
406902528,Michael Gottlieb
408042686,P.J. Hogan
411021566,George Hickenlooper
413158740,George T. Miller
413348715,Jonathan Parker
413508390,Graeme Clifford
414125918,Steven M. Martin
414320660,Vadim Jean
416101325,Sergei Eisenstein
417763641,David Mackenzie
419098301,J.T. Petty
420353048,Tom McLoughlin
421701509,Stuart Orme
423466969,Abdellatif Kechiche
423831157,Kunihiko Yuyama
424201247,Aaron Schneider
424547116,David Atkins
425197131,Robin Swicord
426389705,Martin Brest
426413975,Ivan Passer
427565681,Isao Takahata
428436839,Edward Burns
429085561,Konstantin Bronzit
432134198,Daniel DiMauro
432181318,Eleanor Bergstein
432416763,Leslie Small
434142870,Paddy Breathnach
435832554,René Laloux
438010021,Jerry Lewis
440651231,Bobby Farrelly
441830176,Shawn Ku
442640574,Matthew Robbins
442756156,Mora Stephens
443046516,Vlad Yudin
443615757,Valeria Golino
443925386,Daniel Stern
444767943,Jeff Baena
446147737,George Nolfi
449660596,Susan Streitfeld
450839849,Mike Mitchell
451531052,Alan Cumming
452981004,Chris Ver Wiel
457353514,Andrés G. Schaer
459542791,Scott Cooper
460204349,Susanne Ofteringer
462178252,Aaron Norris
463645650,Jonathan Hensleigh
466699128,Chris Atkins
466880216,Adam Rifkin
466893715,Anthony DiBlasi
468787734,Mimi Leder
469056030,Massimo Troisi
469278128,Dale Launer
470436708,Wai Ka-Fai
471765779,Lewis Milestone
472591842,Chris Bailey
473538275,Lili Fini Zanuck
474413438,Marlon Brando
474517107,Joseph V. Mascelli
475487921,Anthony Harvey
478163021,Frank Borzage
478489781,Michael Katleman
478633624,Martin Ritt
479675982,Rajkumar Hirani
479743431,Deran Sarafian
480717952,Ron Howard
480934002,Asger Leth
482012523,King Vidor
482548982,Harry Hook
483581328,Jeff Burr
483996860,Park Chan-wook
484371559,Peter M. Cohen
489862444,Nicolas Philibert
489995116,Philip Haas
491167685,John Alan Schwartz
491340232,Jonathan Milott
493443864,Leos Carax
494178210,Jens Hoffmann
495014191,Kevin Bray
496151088,Henry Alex Rubin
496276617,W.S. Van Dyke
496320866,Albert Hughes
496654117,Jerusha Hess
496900558,Gary Nelson
497524587,John Tatoulis
498701007,Wayne Wang
498773677,Thomas Borch Nielsen
501583858,Finn Taylor
501998869,Jay Russell
503497740,Val Guest
503510329,Fred Zinnemann
505629540,Genndy Tartakovsky
505990017,Andrey Zvyagintsev
509571518,Floyd Mutrux
510705190,Roxanne Benjamin
513845424,Jason Reitman
514601521,Denys Arcand
515835378,Sarah Adina Smith
516224924,Richard Lester
519755562,Claude Chabrol
519933495,Éric Rohmer
521086221,Sacha Gervasi
521301391,Paul Miller
521368772,Richard Thorpe
522012648,Albert Pyun
523855797,James D. Parriott
524433162,Pierre Coffin
524939012,Marjane Satrapi
525174725,Rod Holcomb
525613958,Ate de Jong
526527819,Benny Chan Muk-Sing
527110755,Amy Heckerling
528150825,Frédéric Fonteyne
530214815,Fred Olen Ray
530320834,Atsuko Ishizuka
530572543,Lukas Moodysson
532065027,Anders Østergaard
533734591,Robert Towne
534352094,Byambasuren Davaa
535108249,Jordan Susman
536376821,Wang Xiaoshuai
536658224,Dany Boon
537341412,Ben Younger
537898037,Mark Moskowitz
538630618,Wolfgang Reitherman
543909689,Jane Anderson
545702224,Bille August
545861516,David Michôd
546877972,Gen Sekiguchi
548164047,Steve Gomer
549699095,Vincent Kok Tak-Chiu
552193559,Robert Z. Leonard
552928188,Patrick Read Johnson
555336295,Larry Blamire
555363005,Chuck Workman
555986636,Karel Reisz
556058051,Christoph Lauenstein
556247918,Emir Kusturica
556980685,Raúl García
557063622,Ernest Thompson
560964333,Cyril Collard
562069797,Ryan Fleck
563856006,Lucky McKee
565917715,Bradford May
567125504,Tom Dey
570484270,Steven Gomez
570570103,Lee Daniels
570813669,Charles Ferguson
571166920,Cody Cameron
572330730,Damián Szifron
572683455,Stevan Riley
572709276,Lamberto Bava
572802206,Cédric Klapisch
573221032,Tony Gilroy
573797254,David Yates
573878638,Courtney Solomon
574389169,Hugh Welchman
574765990,Seth Grossman
576779549,Greg Mottola
577971710,Andy Bichlbaum
580070041,Ken Scott
580747112,Fred M. Wilcox
581337451,Larysa Kondracki
581759683,Terry Gilliam
581984498,Alan Rudolph
582533543,Frank Coraci
582643161,Patty Jenkins
583489876,Scott Alexander
583931238,Thomas Langmann
586021325,D.J. Caruso
588032297,Jessica Yu
590819166,Richard Shepard
591228971,Matt Brown
592937771,Sam Wanamaker
596263378,John Cherry
597912000,Jonathan Kaplan
597953900,Dave Thomas
599015590,Joe Maggio
599467166,Ryan Little
600898448,Joe Dante
601252185,Alan Barillaro
602746770,James Bridges
603221681,Hans Horn
604502788,Jamie Uys
605866785,Kenny Ortega
606326472,Daniel Monzón
608996045,Hiroshi Teshigahara
609496807,Edward Ludwig
609799690,Jacques Tourneur
612333858,Trey Nelson
613364560,Tom Hanks
613922834,Jay Sandrich
614245196,Pedro Almodóvar
615686048,Jim Mallon
616270138,Zak Penn
618127145,Edwin L. Marin
620299263,Michael Showalter
620599670,Leander Haußmann
620670676,Jesse Lawrence
622095168,Lionel Coleman
623314361,Clive Donner
623822110,Frank Lloyd
624992337,William Lustig
625215763,John Gilling
625626804,Paco Cabezas
625678307,Marco Brambilla
626549991,Kevin Costner
628220671,Jessy Terrero
630280945,Jean-Jacques Annaud
631487215,Henry Hathaway
631722488,Bob Clark
635457183,David Kerr
